x,y,z
121.57651119839409,348.5495679900866,a
144.95654294174892,379.3895263109116,a
46.7745536332768,354.89511576886457,a
86.7480914268556,351.69456882675433,a
134.39843254365286,412.76583693447947,a
158.90192081377205,463.41901208047557,a
189.7050057175679,423.68921026195517,a
119.4566646901848,430.8537887880756,a
164.0748728328905,401.3569499273582,a
190.15820453913332,399.73473271781273,a
172.73497529769008,464.85550255293714,a
214.32531062948922,422.7830351190894,a
187.4608447173095,450.56266566411597,a
188.94992478148222,386.60151845688506,a
181.05612500432957,468.123397163199,a
222.46080643778697,478.917825921244,a
246.53855037831846,504.64898168317325,a
201.18340470785967,464.77901294885436,a
243.44127829028923,446.54984590460515,a
233.94804379802054,402.2936337929682,a
199.45234796030445,397.9616829258053,a
218.96585539357585,429.3240241617442,a
217.86213042727397,505.0764524449236,a
260.4215344686229,478.91967081091394,a
186.21488898494715,498.88781951300723,a
206.6062394127666,466.9782764966608,a
205.31431521342,369.2089571060329,a
257.4980499145615,454.4595508982129,a
224.64163810037735,478.9476650447022,a
222.40498123104896,403.5703726498523,a
262.7974522314045,451.10012269641277,a
255.76219717650704,425.9479229099477,a
249.08060828592886,466.24355411830385,a
252.51582032020377,424.0898062474606,a
227.3063918177045,441.661835031035,a
252.87760460990953,408.1436720594171,a
250.3425655796351,451.5791702643088,a
182.00044643488346,423.0633711442273,a
204.35740837246914,454.2163728400851,a
204.2815643918163,406.2494392080339,a
230.22197066315596,423.2399869143109,a
159.17003318016035,409.9492583385753,a
176.14710840490113,405.95323583650384,a
199.62116200103029,391.0757694178297,a
161.35041377577244,386.0717199730038,a
145.7559274568914,457.42660822575124,a
164.1948013348234,402.4887261668804,a
115.10708487969592,390.57350316101076,a
137.5279529003511,422.70569953667757,a
119.917486974587,412.8851832615071,a
112.02106074905724,435.2210306392555,a
133.72293120179228,417.3906568529953,a
109.93687371819883,382.7882151790546,a
88.10070720114001,415.4815605191869,a
108.94704455163983,374.029969748562,a
149.1193085890499,388.96382849752507,a
99.63041131302138,427.5857105070347,a
71.21630103995516,379.9309830600974,a
126.33026498692982,374.48453382606954,a
101.62835947870165,410.0014082550407,a
117.77678370769422,412.2846964642757,a
109.94140829585875,384.94000792634426,a
111.07470267877771,413.4031716041021,a
84.48731637832736,394.2283479393327,a
116.07259053664751,383.3125362174817,a
89.83146510651405,372.153147605457,a
78.63117528786722,371.59410476732705,a
88.34922395851514,359.1044107666843,a
71.19488394758368,381.9777793735135,a
45.48483595921407,360.1371995946108,a
61.52442365966823,392.0915768106324,a
21.892298241088618,369.47020681405286,a
109.74448596247353,322.90471900019037,a
50.291446284727726,341.35371575064335,a
85.20386176725525,388.82085499453933,a
110.66758161448945,374.6816140918651,a
89.26141241213175,358.64710805261757,a
103.11727686986418,364.64480732116846,a
72.9298563445861,355.08813695255714,a
104.74738087911025,394.59881825601104,a
42.256553254469225,321.18014859788576,a
58.22805920837512,313.13267098180523,a
8.038233893863655,357.8676118797497,a
43.55442354113664,389.9386039628175,a
71.44610736976774,368.211911524563,a
48.99197064632423,321.4108502831565,a
71.94430731609694,385.8261042894022,a
105.51676145096683,337.54124983494853,a
120.78973163190577,394.322637686358,a
88.81158251128342,373.4852255464102,a
115.55053875522687,361.4038194616264,a
117.08210147589594,382.92320888482755,a
124.7207360988089,398.8872928302702,a
137.42333962781223,419.20995835762625,a
112.59099200298984,356.1271679064938,a
87.16995241212325,389.8073958909159,a
107.28491568641306,351.12559616013397,a
118.91346906482325,402.56710844730327,a
151.2019486058388,422.60853353847904,a
134.5695137752342,395.27000302294107,a
146.2816498875084,412.41679528197335,a
108.88198564616718,420.21763649654883,a
195.68353315739444,447.23636399015925,a
149.29345446689678,407.5853781611523,a
132.13574382802676,378.27060448216423,a
164.71307975233233,393.26369556051037,a
153.5573720705022,418.83799909951034,a
368.4338636190572,364.6274901555148,b
307.6162829572789,334.79850075620993,b
318.3131313150648,315.14648178898534,b
251.68712729977833,320.3162913250227,b
263.8861846734118,360.2054940672557,b
224.21774185329875,348.91329903359224,b
222.41492414795488,307.8846014096114,b
246.16053697307785,283.5445640492339,b
255.03617669330302,273.4201980028896,b
261.572502810749,303.36007124533705,b
188.256444623794,279.48267572572587,b
238.5452724580596,275.3187492413223,b
213.8818464731785,284.6460068757354,b
246.37617596164927,294.038796012636,b
187.30950570800977,291.6582639798091,b
240.66426628836857,307.20604885179705,b
198.26857525058372,284.7482409510146,b
145.90306509001752,287.62216829339997,b
182.03474958981653,302.9369405050726,b
191.99238359425456,276.36898011898086,b
167.44400662513027,300.74516757192646,b
140.27672285597384,274.7799414817168,b
152.84239362586362,222.0326916750863,b
185.4379361565794,311.64528774524365,b
175.53736383430984,284.30298698611716,b
163.4727439031246,293.9588412293665,b
123.61289664010542,281.0212769538176,b
185.35792145186616,302.02799298230866,b
171.94141519040727,293.802303525414,b
184.7674836519936,283.5927578578461,b
140.96690493253124,295.7186462535086,b
175.55391944188918,304.53525810214217,b
146.18705870660685,267.52904046656465,b
198.1447472399541,236.26123512472782,b
164.58179335414746,248.23223022963373,b
103.80777936661845,253.6094183810434,b
208.158048209802,283.22934963839,b
195.34245043615755,261.1148527733032,b
174.52913742081333,327.4469190240304,b
251.6771386307367,289.8455415551656,b
267.0102523337461,324.61147674541746,b
251.24329990450815,340.5292105264359,b
228.7262595272537,369.61224008565495,b
